,DaysFromFirstDate,State,district,Gender_F,Gender_M,Gender_Non-Binary,Married_couples_3_Households,Religion_Not_Stated,deceased,Sikhs,Married_couples_None_Households,Power_Parity_Rs_330000_425000,Population,Power_Parity_Above_Rs_545000,DaysFromFirstDate_y,Households_with_Telephone_Mobile_Phone_Both,Muslims,Main_source_of_drinking_water_River_Canal_Households,Literate,Household_size_9_persons_and_above_Households,Cultivator_Workers,Female_Workers,Other_Workers,Gender_Ratio,Power_Parity_Rs_240000_330000,Illiterate_Education,Household_size_1_person_Households,Total_Power_Parity,Christians,Households_with_Computer,active,LPG_or_PNG_Households,NumRuralHospitals_NHP18,Household_size_6_8_persons_Households,Area,Households_with_Television,Power_Parity_Rs_150000_330000,Households_with_Telephone_Mobile_Phone_Mobile_only,Married_couples_3_or_more_Households,Female,Not_having_bathing_facility_within_the_premises_Total_Households,TotalPublicHealthFacilities_HMIS,Total_Education,Secondary_Education,Non_Workers,Type_of_bathing_facility_Enclosure_without_roof_Households,Power_Parity_Rs_425000_545000,Households_with_Internet,Households_with_Radio_Transistor,Household_size_1_to_2_persons,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,District_code,Male,Negative,Household_Workers,Type_of_latrine_facility_Pit_latrine_Households,SC,Location_of_drinking_water_source_Away_Households,Agricultural_Workers,Power_Parity_Rs_90000_150000,NumUrbanHospitals_NHP18,Households_with_Telephone_Mobile_Phone,Households,Households_with_separate_kitchen_Cooking_inside_house,Main_source_of_drinking_water_Tapwater_Households,TotalSamples,Other_Education,NumUrbanBeds_NHP18,Hindus,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Location_of_drinking_water_source_Near_the_premises_Households,Male_Workers,Housholds_with_Electric_Lighting,Having_bathing_facility_Total_Households,Male_ST,Married_couples_1_Households,Population.1,Primary_Education,Households_with_Car_Jeep_Van,Power_Parity_Rs_150000_240000,Age_Group_0_29,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,NumDistrictHospitals_HMIS,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Literate_Education,Main_source_of_drinking_water_Un_covered_well_Households,Having_latrine_facility_within_the_premises_Total_Households,Married_couples_5__Households,Positive,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,NumRuralBeds_NHP18,Type_of_latrine_facility_Other_latrine_Households,Location_of_drinking_water_source_Within_the_premises_Households,Power_Parity_Rs_45000_150000,confirmed,DaysFromFirstDate_x,type_Private Laboratory,Power_Parity_Less_than_Rs_45000,Jains,Married_couples_2_Households,Main_Workers,Marginal_Workers,Buddhists,Others_Religions,Household_size_2_persons_Households,Household_size_3_to_5_persons_Households,Condition_of_occupied_census_houses_Dilapidated_Households,Male_SC,Power_Parity_Rs_330000_545000,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Higher_Education,Type_of_fuel_used_for_cooking_Any_other_Households,Rural_population,Rural_Households,Male_Literate,Age_Group_50,recovered,Household_size_3_persons_Households,Urban_population,NumPublicBeds_HMIS,Female_Literate,Workers,Graduate_Education,Power_Parity_Rs_45000_90000,Household_size_5_persons_Households,type_Government Laboratory,Urban_Households,type_Collection Site,Ownership_Owned_Households,Age_Group_30_49,Households_with_Scooter_Motorcycle_Moped,NumPrimaryHealthCenters_HMIS,Female_ST,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Households_with_Bicycle,NumSubDistrictHospitals_HMIS,Middle_Education,Main_source_of_drinking_water_Spring_Households,Ownership_Rented_Households,Married_couples_4_Households,Below_Primary_Education,Households_with_Telephone_Mobile_Phone_Landline_only,zone,NumCommunityHealthCenters_HMIS,Household_size_4_persons_Households,ST,Density,Female_SC,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Age_not_stated,state_active,state_recovered,state_deceased
0,0,Bihar,Buxar,3,1,0,23401,1858,0,248,20387,12,104099452,25,96,4408,105423,212,989807,56545,132472,136142,127938,918,8,457814,4625,1556,2125,19324,8,27362,930,96849,"94,163",48405,143,162604,37653,818375,131627,2146,1802491,178044,1168030,92957,19,1784,78643,20068,240965,232,887977,2299,26122,3645,251737,19459,251790,313,103,174119,334657,244087,10728,11999,5224,5936,1591454,3395,3437,54463,402180,46760,130771,14102,144919,1706352,420187,5341,135,1074754,589,43,2034,1344677,4471,64826,5116,115,4002,6083,1201,188476,966,8,96,0,392,97,59439,328547,209775,5090,57,15443,88936,27055,131821,31,301,89306,2628,92341436,299252,593544,253998,0,18203,11758016,17796,396263,538322,64117,653,40198,6,35405,0,254972,375372,26325,2007,12722,194429,137996,33,256124,94,4718,9136,331675,7107,3,63,30535,26824,"1,102",119916,3597,2228,44,0,0
1,0,Bihar,Munger,4,3,0,6965,2576,0,338,21424,29,104099452,42,96,4853,110416,862,801817,18796,45953,99205,167566,918,20,498676,4944,1424,1815,17946,27,49141,930,85773,"94,163",69973,157,138260,9066,638724,154189,2146,1348410,147152,941107,59858,46,2653,56958,28389,184033,226,729041,2299,16690,12592,183846,43505,196449,307,103,149671,308063,236192,20237,11999,4394,5936,1252319,4871,7168,93833,327453,90461,109560,10995,199555,1367765,158699,3755,137,860147,1030,43,2838,849734,48900,102385,463,115,6270,6083,2634,126411,861,27,96,0,287,145,33704,233402,193256,95,61,23445,130791,20065,97195,75,419,101907,1855,92341436,222281,473741,188319,0,30778,11758016,17796,328076,426658,64469,554,52077,6,85782,0,248457,316713,24259,2007,10409,158542,112707,33,146414,118,11182,1638,226699,6558,3,63,47936,21404,"1,102",86651,13116,2586,44,0,0
2,0,Bihar,Patna,0,1,0,60090,21668,0,4803,77267,180,104099452,476,96,33562,439952,885,3459679,139437,271216,445475,867118,918,129,2590473,17629,7065,12551,132582,8,321307,930,328240,"94,163",453344,821,590486,86592,2759953,394646,2146,7511199,698351,3956579,223867,293,40692,227469,78118,666585,230,3078512,2299,85349,33740,920918,97253,658203,1877,103,662665,1210094,899309,231255,11999,46126,5936,5356075,14948,90643,252246,1436411,546859,562795,4717,609661,5838465,1095655,49821,692,3626564,4474,43,61156,4920726,32808,507581,7766,115,17401,6083,7981,607942,4202,8,96,0,1091,2151,183921,1371267,510619,1062,203,60489,411646,71080,482088,473,1105,463361,11250,92341436,657991,2028047,815638,0,83095,11758016,17796,1431632,1881886,452340,2325,175456,6,552103,0,829728,1382654,176114,2007,4352,433555,430595,33,920051,463,104162,18736,1244842,38617,3,63,153095,9069,"1,102",438830,24702,13609,44,0,0
3,0,Bihar,Rohtas,1,0,0,37743,6185,0,2569,33837,28,104099452,46,96,8169,300487,556,1799832,87548,218087,216940,252736,918,20,876443,8103,1555,2889,36279,1,41659,930,166881,"94,163",106218,187,291988,58724,1416372,207416,2146,3065196,333053,2035039,163333,45,4594,123491,35246,412516,234,1543546,2299,48512,5419,549546,26201,405544,363,103,312557,608061,432151,25242,11999,16006,5936,2645415,5613,5158,73129,707939,114893,248462,16399,260042,2959918,548971,10819,167,1875174,1544,43,4727,2188753,8126,128652,7318,115,6761,6083,2969,356548,951,1,96,0,299,252,103275,542439,382440,1584,537,27143,166203,28748,286596,73,471,194928,5119,92341436,512383,1061783,407193,0,32977,11758016,17796,738049,924879,161555,588,75928,6,95678,0,433720,673742,49892,2007,15251,322377,224824,33,399053,121,15995,13663,535187,12400,3,63,57298,31650,"1,102",262950,6234,3809,44,0,0
4,0,Gujarat,Bharuch,0,1,0,9888,2480,0,1733,46331,180,60439692,336,96,26021,343511,2217,1118276,17153,78120,158205,286525,919,236,273829,15944,3242,9494,29531,24,121542,364,76472,"196,024",178535,518,176875,11477,745312,73438,2236,1330179,188539,923895,69311,293,10257,50018,50563,58860,488,805707,34651,8902,17549,62235,34474,253577,922,122,215142,481996,308906,253257,36829,16036,20565,1188204,7512,24691,95961,468919,309091,261660,250398,225413,1551019,367060,21579,282,844298,1024,37,20255,1056350,8934,204943,279,2178,10087,11715,1295,204663,1704,24,96,4,213,4813,51877,526541,100583,442,342,34619,190910,4023,31979,473,112,83895,322,34694609,300677,623047,254728,0,45366,25745083,41129,495229,627124,74380,782,66919,10,181319,0,279792,442523,104126,1770,237796,125360,96508,44,164765,246,44555,1310,161675,12246,2,385,78625,488194,308,30256,4199,9470,618,0,0
5,0,Gujarat,Kheda,0,1,0,25028,2626,0,1403,52607,242,60439692,370,96,23201,264482,1194,1660243,27666,239241,259397,322445,919,293,482078,19249,4252,26629,24502,3,99982,364,127957,"196,024",171342,613,181434,28407,1114158,241175,2236,2231312,310341,1365902,58036,394,5710,61231,61816,124935,483,1185727,34651,12455,18331,115631,70641,359842,1169,122,218734,622026,349334,302055,36829,19498,20565,2000884,3096,68378,157901,674586,372226,220959,21057,282924,2299885,641541,12788,320,1260660,646,37,12080,1749234,18115,172599,527,2178,4445,11715,875,233592,2315,3,96,4,320,3479,98196,722134,211849,300,82,42567,244695,10647,59734,636,100,148530,307,34694609,461479,942480,388646,0,52793,25745083,41129,717763,933983,84223,1146,91976,10,160547,0,429236,628221,84414,1770,19279,283602,146364,44,250044,55,22358,2852,295057,14099,2,385,99926,40336,308,55897,4545,22358,618,0,0
6,0,Gujarat,Navsari,0,1,0,9119,914,0,2459,40551,159,60439692,442,96,25731,78669,385,1001909,11846,112809,183953,265244,919,225,261956,13415,3256,5733,24397,1,114620,364,61357,"196,024",153431,609,155168,10519,651507,92796,2236,1228976,190861,737838,46171,252,6726,57934,43365,115032,490,678165,34651,7173,8673,35464,36228,206608,1019,122,191691,409156,281244,148017,36829,26012,20565,1225087,2393,50626,100295,407881,267679,201380,319740,193250,1329672,266733,18669,384,673014,431,37,16602,967020,20273,168150,187,2178,3235,11715,993,157653,1631,1,96,4,164,13386,49856,510004,81830,601,2823,29950,177608,3581,17959,411,36,112460,201,34694609,267739,539471,258957,0,41648,25745083,41129,462438,591834,85041,612,57528,10,141417,0,262571,390349,115177,1770,319919,117567,136665,44,140235,421,25882,1213,145678,10792,2,385,78432,639659,308,17505,2478,7352,618,0,0
7,0,Gujarat,Rajkot,2,0,0,30574,3338,0,1918,73551,576,60439692,894,96,62685,361388,1540,2725056,41410,349357,319570,891628,919,866,738660,24044,8498,5478,67370,40,362140,364,199955,"196,024",571843,1600,558748,35598,1830113,189183,2236,3479411,540278,2325508,33164,942,21785,211531,94572,79342,476,1974445,34651,23780,42820,290169,62687,214285,2322,122,651936,1181006,689314,651594,36829,29924,20565,3397406,25539,41220,114748,1159480,747352,593448,12504,530055,3804558,913928,55289,734,2080568,4125,37,52563,2740751,12904,543342,776,2178,29434,11715,4758,605196,4031,40,96,4,455,33591,143427,1324783,154267,1170,269,70528,446694,9724,149782,1518,2117,204306,635,34694609,459474,1514075,659576,0,100983,25745083,41129,1210981,1479050,266295,1709,156491,10,721532,0,644828,1052871,428744,1770,11513,217110,355586,44,402240,238,111779,4248,383780,30503,2,385,189220,24017,308,140387,8555,11543,618,0,0
8,0,Gujarat,Surat,27,51,0,42215,3945,0,5703,216710,1170,60439692,1684,96,100342,660772,402,4571410,59925,109549,410723,2076214,919,1700,942150,48229,16368,21052,149331,347,815423,364,276610,"196,024",788447,3480,855336,49399,2679098,149151,2236,5438048,896927,3527780,157733,1924,55694,395329,174440,207420,492,3402224,34651,42040,23291,158115,62145,325739,4428,122,995637,1899838,1275151,1047402,36829,79862,20565,5260193,20722,117310,228438,2142819,1252452,1150519,432089,854742,6081322,1332690,106983,1780,3563443,4989,37,112976,4495898,12286,1103767,1103,2178,21375,11715,5698,1009087,7398,347,96,4,712,112835,178819,2405288,148254,12902,3920,126211,788695,8298,82202,3094,84,433651,1308,34694609,369840,2687468,723415,0,193437,25745083,41129,1883942,2553542,379505,2970,254274,10,1529998,0,788508,1740746,530528,1770,424863,149810,397563,44,807021,167,478407,6081,566242,39959,3,385,340984,856952,308,75913,5294,53718,618,0,0
9,0,Gujarat,Tapi,1,0,0,4405,1942,0,239,17682,189,60439692,133,96,4426,22309,413,490036,5612,105726,199853,80711,919,194,292102,6229,2945,52930,7567,1,27759,364,43995,"196,024",52359,356,67669,4905,404834,70420,2236,802917,86580,356120,66942,293,1601,26848,26574,111985,493,402188,34651,9679,6650,8168,33468,254786,794,122,75676,218489,171225,45663,36829,8767,20565,725890,365,14494,92473,251049,142370,105297,335958,115871,807022,174139,5534,162,422047,231,37,3704,510815,12617,49441,75,2178,956,11715,330,49776,1695,1,96,4,279,1828,37259,337579,113323,1476,408,20345,99536,1755,4139,482,17,49482,18,34694609,192272,269007,144575,0,21094,25745083,41129,221029,450902,31743,901,34494,10,26217,0,166845,235019,41058,1770,343362,123894,56290,44,75545,161,6958,425,84559,3581,2,385,43948,679320,308,4029,2011,5381,618,0,0
